PaperTitle,Authors (with Affiliations),AuthorNames
A Theoretical-Inspired Semi-supervised Learning Algorithm under Covariate-shift,Gholamali Aminian (UCL)*; Mahed Abroshan (Alan Turing Institute); Mohammad Mahdi Khalili (University of Delaware); Miguel Rodrigues (University College London); Laura Toni (UCL),"Aminian, Gholamali*; Abroshan, Mahed; Khalili, Mohammad Mahdi; Rodrigues, Miguel; Toni, Laura"
Optimal Design of Stochastic DNA Synthesis Protocols based on Generative Sequence Models,Eli N Weinstein (Harvard University)*; Alan N Amin (Harvard Medical School); Will S Grathwohl (University of Toronto); Daniel Kassler (Harvard University); Jean Disset (Harvard University); Debora Marks (),"Weinstein, Eli N*; Amin, Alan N; Grathwohl, Will S; Kassler, Daniel; Disset, Jean; Marks, Debora"
Approximate Top-$m$ Arm Identification with Heterogeneous Reward Variances,Ruida Zhou (Texas A&M University)*; Chao Tian (Texas A&M University),"Zhou, Ruida*; Tian, Chao"
On perfectness in Gaussian graphical models,Arash Amini (UCLA); Bryon Aragam (University of Chicago)*; Qing Zhou (UCLA),"Amini, Arash; Aragam, Bryon*; Zhou, Qing"
GalilAI: Out-of-Task Distribution Detection using Causal Active Experimentation for Safe Transfer RL,"Sumedh A Sontakke (University of Southern California)*; Stephen Iota (University of Southern California); Zizhao Hu (University of Southern california); Arash Mehrjou (Max Planck Institute for Intelligent Systems); Laurent Itti (University of Southern California); Bernhard Schölkopf (MPI for Intelligent Systems, Tübingen)","Sontakke, Sumedh A*; Iota, Stephen; Hu, Zizhao; Mehrjou, Arash; Itti, Laurent; Schölkopf, Bernhard"
Efficient interventional distribution learning in the PAC framework,"Saravanan Kandasamy (Cornell University)*; Arnab Bhattacharyya (National University of Singapore); Sutanu Gayen (National University of SIngapore); Vinodchandran N. Variyam (University of Nebraska, Lincoln); Vedant Raval (IIT Delhi)","Kandasamy, Saravanan*; Bhattacharyya, Arnab; Gayen, Sutanu; Variyam, Vinodchandran N.; Raval, Vedant"
Dropout as a Regularizer of Interaction Effects,"Benjamin J Lengerich (MIT)*; Eric Xing (MBZUAI, CMU, and Petuum Inc.); Rich Caruana (Microsoft Research)","Lengerich, Benjamin J*; Xing, Eric; Caruana, Rich"
Thompson Sampling with a Mixture Prior,Joey Hong (Berkeley)*; Branislav Kveton (Amazon); Manzil Zaheer (Google Research); Mohammad Ghavamzadeh (Google Research); Craig Boutilier (Google Research),"Hong, Joey*; Kveton, Branislav; Zaheer, Manzil; Ghavamzadeh, Mohammad; Boutilier, Craig"
SparseFed: Mitigating Model Poisoning Attacks in Federated Learning with Sparsification ,Ashwinee Panda (Princeton University)*; Saeed Mahloujifar (Princeton University); Arjun Nitin Bhagoji (University of Chicago); Supriyo Chakraborty (IBM Research); Prateek Mittal (Princeton University),"Panda, Ashwinee*; Mahloujifar, Saeed; Bhagoji, Arjun Nitin; Chakraborty, Supriyo; Mittal, Prateek"
Nearly Optimal Algorithms for Level Set Estimation,"Blake Mason (Rice University)*; Lalit Jain (University of Washington); Subhojyoti Mukherjee (University of Wisconsin Madison); Romain Camilleri (University of Washington); Kevin Jamieson (U Washington); Robert Nowak (University of Wisconsin, Madison)","Mason, Blake*; Jain, Lalit; Mukherjee, Subhojyoti; Camilleri, Romain; Jamieson, Kevin; Nowak, Robert"
