PaperTitle,Authors (with Affiliations),AuthorNames
Quadric hypersurface intersection for manifold learning in feature space,Fedor Pavutnitskiy (HSE University); Sergei O. Ivanov (Saint Petersburg State University); Evgeniy Abramov (Saint Petersburg State University); Viacheslav Borovitskiy (Saint Petersburg State University)*; Artem Klochkov (Saint Petersburg State University); Viktor Vyalov (Saint Petersburg State University); Anatolii Zaikovskii (Saint Petersburg State University); Aleksandr Petiushko (MSU; AIRI),"Pavutnitskiy, Fedor; Ivanov, Sergei O.; Abramov, Evgeniy; Borovitskiy, Viacheslav*; Klochkov, Artem; Vyalov, Viktor; Zaikovskii, Anatolii; Petiushko, Aleksandr"
Adaptive Sampling for Heterogeneous Rank Aggregation from Noisy Pairwise Comparisons,"Yue Wu (University of California, Los Angeles)*; Tao Jin (University of Virginia); Hao Lou (University of Virginia); Pan Xu (Caltech); Farzad Farnoud (University of Virginia); Quanquan Gu (University of California, Los Angeles)","Wu, Yue*; Jin, Tao; Lou, Hao; Xu, Pan; Farnoud, Farzad; Gu, Quanquan"
Theory of Reweighting for Domain Adaptation and Causal Inference,David A Bruns-Smith (UC Berkeley)*; Avi Feller (UC Berkeley),"Bruns-Smith, David A*; Feller, Avi"
"Predicting the utility of search spaces for black-box optimization: a simple, budget-aware approach",Setareh Ariafar (Google)*; Justin Gilmer (Google Brain); Zachary Nado (Google Brain); Jasper Snoek (Google Brain); Rodolphe Jenatton (Google); George Dahl (Google Brain),"Ariafar, Setareh*; Gilmer, Justin; Nado, Zachary; Snoek, Jasper; Jenatton, Rodolphe; Dahl, George"
Learning from Multiple Noisy Partial Labelers,"Peilin Yu (Brown University)*; Tiffany Ding (University of California, Berkeley); Stephen H Bach (Brown University)","Yu, Peilin*; Ding, Tiffany; Bach, Stephen H"
Forward Looking Best-Response Multiplicative Weights Update Methods for Bilinear Zero-sum Games,"Michail Fasoulakis (Institute of Computer Science, Foundation for Research and Technology-Hellas (ICS-FORTH)); Evangelos Markakis (Athens University of Economics and Business); Yannis Pantazis (FORTH); Constantinos Varsos (Institute of Computer Science, Foundation for Research and Technology-Hellas (ICS-FORTH))*","Fasoulakis, Michail; Markakis, Evangelos; Pantazis, Yannis; Varsos, Constantinos*"
Hypergraph Simultaneous Generators,Bahman Pedrood (George Mason University)*; Carlotta Domeniconi (George Mason University); Kathryn Laskey (George Mason University),"Pedrood, Bahman*; Domeniconi, Carlotta; Laskey, Kathryn"
Amortised Ratio Estimation for Expensive Time-series Simulators,Joel Dyer (University of Oxford)*; Patrick W Cannon (Improbable); Sebastian M Schmon (Improbable),"Dyer, Joel*; Cannon, Patrick W; Schmon, Sebastian M"
Robust Training in High Dimensions via Block Coordinate Geometric Median Descent,Anish Acharya (University of Texas at Austin)*; AbolfazL Hashemi (Purdue University); Prateek Jain (Google ); Sujay Sanghavi (UT Austin); Inderjit S. Dhillon (UT Austin & Amazon); Ufuk Topcu (University of Texas at Austin),"Acharya, Anish*; Hashemi, AbolfazL; Jain, Prateek; Sanghavi, Sujay; Dhillon, Inderjit S.; Topcu, Ufuk"
Stateful Offline Contextual Policy Evaluation and Learning,Nathan Kallus (Cornell University); Angela Zhou (UC Berkeley)*,"Kallus, Nathan; Zhou, Angela*"
Sample Complexity of Policy Space Methods under Off-Policy Sampling and Linear Function Approximation,Zaiwei Chen (Georgia Institute of Technology)*; Siva Theja Maguluri (Georgia Tech),"Chen, Zaiwei*; Maguluri, Siva Theja"
Solving Multi-Arm Bandit Using a Few Bits of Communication,Osama A Hanna (UCLA)*; Lin Yang (UCLA); Christina Fragouli (),"Hanna, Osama A*; Yang, Lin; Fragouli, Christina"
Causal Effect Identification with Context-specific Independence Relations of Control Variables,Ehsan Mokhtarian (EPFL)*; Fateme Jamshidi (EPFL); Jalal Etesami (EPFL); Negar Kiyavash (École Polytechnique Fédérale de Lausanne),"Mokhtarian, Ehsan*; Jamshidi, Fateme; Etesami, Jalal; Kiyavash, Negar"
Entropy Regularized Optimal Transport Independence Criterion,Lang Liu (University of Washington)*; Soumik Pal (University of Washington); Zaid Harchaoui (University of Washington),"Liu, Lang*; Pal, Soumik; Harchaoui, Zaid"
Polynomial Time Reinforcement Learning in Factored State MDPs with Linear Value Functions,Siddartha Devic (University of Southern California); ZIHAO DENG (Washington University in St. Louis)*; Brendan Juba (Washington University in St Louis),"Devic, Siddartha; DENG, ZIHAO*; Juba, Brendan"
PAC Learning of Quantum Measurement Classes : Sample Complexity Bounds and Universal Consistency,"Arun Padakandla (University of Tennessee at Knoxville)*; Abram Magner (University at Albany, State University of New York)","Padakandla, Arun*; Magner, Abram"
Can we Generalize and Distribute Private Representation Learning?,Sheikh Shams Azam (Purdue University)*; Taejin Kim (Carnegie Mellon University); Seyyedali Hosseinalipour (Purdue University); Carlee Joe-Wong (Carnegie Mellon University); Saurabh Bagchi (Purdue University); Christopher Brinton (Purdue University),"Azam, Sheikh Shams*; Kim, Taejin; Hosseinalipour, Seyyedali; Joe-Wong, Carlee; Bagchi, Saurabh; Brinton, Christopher"
Feature Collapsing for Gaussian Process Variable Ranking,Isaac Sebenius (University of Cambridge)*; Topi Paananen (Aalto University); Aki Vehtari (Aalto University),"Sebenius, Isaac*; Paananen, Topi; Vehtari, Aki"
"Private Sequential Hypothesis Testing for Statisticians: Privacy, Error Rates, and Sample Size",Wanrong Zhang (Harvard University)*; Yajun Mei (Georgia Institute of Technology); Rachel Cummings (Columbia University),"Zhang, Wanrong*; Mei, Yajun; Cummings, Rachel"
FedMix: A Simple and Communication-Efficient Alternative to Local Methods in Federated Learning,Elnur Gasanov (KAUST)*; Ahmed Khaled (Princeton University); Samuel Horváth (KAUST); Peter Richtarik (KAUST),"Gasanov, Elnur*; Khaled, Ahmed; Horváth, Samuel; Richtarik, Peter"
Data Appraisal Without Data Sharing,Xinlei XU (NYU)*; Awni Hannun (Facebook AI Research); Laurens van der Maaten (Facebook),"XU, Xinlei*; Hannun, Awni; van der Maaten, Laurens"
A Global Defense Approach via Adversarial Attack and Defense Risk Guaranteed Bounds,"Trung Le (Monash University)*; Anh Tuan Bui (Monash University); LE  Minh Tri Tue (Deakin University); He Zhao (Monash University); Paul Montague (""DST, Australia""); Quan Tran (Adobe Research); Dinh Phung (Monash University)","Le, Trung*; Bui, Anh Tuan; Minh Tri Tue, LE ; Zhao, He; Montague, Paul; Tran, Quan; Phung, Dinh"
Transductive Robust Learning Guarantees,Omar Montasser (TTI-Chicago)*; Steve Hanneke (Purdue University); Nathan Srebro (Toyota Technical Institute of Chicago),"Montasser, Omar*; Hanneke, Steve; Srebro, Nathan"
Online Competitive Influence Maximization,Jinhang Zuo (Carnegie Mellon University)*; Xutong Liu (The Chinese University of Hong Kong); Carlee Joe-Wong (Carnegie Mellon University); John C. S. Lui (The Chinese University of Hong Kong); Wei Chen (Microsoft),"Zuo, Jinhang*; Liu, Xutong; Joe-Wong, Carlee; Lui, John C. S.; Chen, Wei"
Adaptive Importance Sampling meets Mirror Descent : a Bias-variance tradeoff,Anna Korba (ENSAE/CREST); François Portier (Télécom Paris)*,"Korba, Anna; Portier, François*"
The Reflectron: Exploiting geometry for learning generalized linear models,Nicholas Boffi (Harvard University)*; Stephen Tu (Google); Jean-Jacques Slotine (MIT),"Boffi, Nicholas*; Tu, Stephen; Slotine, Jean-Jacques"
Learning Tensor Representations for Meta-Learning,Samuel Deng (Columbia University); Yilin Guo (Columbia University); Daniel Hsu (Columbia University); Debmalya Mandal (Columbia University)*,"Deng, Samuel; Guo, Yilin; Hsu, Daniel; Mandal, Debmalya*"
Differentially Private Densest Subgraph,Alireza Farhadi (University of Maryland)*; MohammadTaghi Hajiaghai (University of Maryland); Elaine Shi (CMU),"Farhadi, Alireza*; Hajiaghai, MohammadTaghi; Shi, Elaine"
A Manifold View of Adversarial Risk,Wenjia Zhang (Rutgers University)*; Yikai Zhang (Rutgers); Xiaoling Hu (Stony Brook University); Mayank Goswami (Queens College of CUNY); Chao Chen (Stony Brook University); Dimitris N. Metaxas (Rutgers),"Zhang, Wenjia*; Zhang, Yikai; Hu, Xiaoling; Goswami, Mayank; Chen, Chao; Metaxas, Dimitris N."
Statistical and computational thresholds for the planted k-densest sub-hypergraph problem,Luca Corinzia (ETH Zurich - Information Science & Engineering Group); Paolo Penna (ETH Zurich)*; Wojciech Szpankowski (Purdue University); Joachim  Buhmann (ETH Zurich),"Corinzia, Luca; Penna, Paolo*; Szpankowski, Wojciech; Buhmann, Joachim "
Controlling Epidemic Spread using Probabilistic Diffusion Models on Networks,"Amy E Babay (University of Pittsburgh); Michael Dinitz (JHU); Aravind Srinivasan (University of Maryland College Park); Leonidas Tsepenekas (University of Maryland, College Park); Anil  Vullikanti (Biocomplexity Institute and Dept of Computer Science, University of Virginia)*","Babay, Amy E; Dinitz, Michael; Srinivasan, Aravind; Tsepenekas, Leonidas; Vullikanti, Anil *"
Equivariant Deep Dynamical Model for Motion Prediction,Bahar Azari (Northeastern University)*; Deniz Erdogmus (Northeastern University),"Azari, Bahar*; Erdogmus, Deniz"
The Fast Kernel Transform,John P Ryan (Cornell University)*; Sebastian E Ament (Cornell University); Carla P Gomes (Cornell University); Anil Damle (Cornell University),"Ryan, John P*; Ament, Sebastian E; Gomes, Carla P; Damle, Anil"
"Outlier-Robust Optimal Transport: Duality, Structure, and Statistical Analysis",Sloan Nietert (Cornell University)*; Ziv Goldfeld (Cornell University); Rachel Cummings (Columbia University),"Nietert, Sloan*; Goldfeld, Ziv; Cummings, Rachel"
Diversity and Generalization in Neural Network Ensembles,Luis Antonio Ortega Andrés (University of Almería); Rafael Cabañas (IDSIA); Andres Masegosa (University of Almeria)*,"Ortega Andrés, Luis Antonio; Cabañas, Rafael; Masegosa, Andres*"
